stratum,verifier,n,n_eval,n_true,n_false,n_error,n_timeout,n_fail,coverage,fn_rate,fn_rate_all,failure_rate,err_rate,timeout_rate,fn_ci_lo,fn_ci_hi,fail_ci_lo,fail_ci_hi
S6_whitespace,mathverify_expr,15704,15704,7852,7852,0,0,7852,1.0,0.5,0.5,0.5,0.0,0.0,0.49218070102140543,0.5078192989785946,0.49218070102140543,0.5078192989785946
S5_mathmode,mathverify_expr,4951,4951,2534,2417,0,0,2417,1.0,0.4881842052110685,0.4881842052110685,0.4881842052110685,0.0,0.0,0.47427494483865756,0.5021117876857484,0.47427494483865756,0.5021117876857484
S2_frac_decimal,mathverify_expr,1725,1725,1396,329,0,0,329,1.0,0.1907246376811594,0.1907246376811594,0.1907246376811594,0.0,0.0,0.17287958843292422,0.2099441474142465,0.17287958843292422,0.2099441474142465
S9_grouping,mathverify_expr,573,573,573,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066597138625230905,0.0,0.0066597138625230905
S10_sets,mathverify_latex,634,634,396,238,0,0,238,1.0,0.3753943217665615,0.3753943217665615,0.3753943217665615,0.0,0.0,0.3385581975695317,0.4137313990952202,0.3385581975695317,0.4137313990952202
S6_whitespace,mathverify_latex,15704,15704,9858,5846,0,0,5846,1.0,0.37226184411614877,0.37226184411614877,0.37226184411614877,0.0,0.0,0.36473320193623565,0.37985296705085164,0.36473320193623565,0.37985296705085164
S4_delimiters,mathverify_latex,1067,1067,867,200,0,0,200,1.0,0.18744142455482662,0.18744142455482662,0.18744142455482662,0.0,0.0,0.16516073153797944,0.2119646995248407,0.16516073153797944,0.2119646995248407
S7_sqrt_exp,mathverify_latex,404,404,403,1,0,0,1,1.0,0.0024752475247524753,0.0024752475247524753,0.0024752475247524753,0.0,0.0,0.0004370644338232135,0.013886143399806313,0.0004370644338232135,0.013886143399806313
S14_unreduced,mathverify_latex,2062,2062,2062,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018595811024427042,0.0,0.0018595811024427042
S1_frac_dialect,mathverify_latex,4146,4146,4146,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009257220805729066,0.0,0.0009257220805729066
S2_frac_decimal,mathverify_latex,1725,1725,1725,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022220659197464934,0.0,0.0022220659197464934
S5_mathmode,mathverify_latex,4951,4951,4951,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000775322464395229,0.0,0.000775322464395229
S9_grouping,mathverify_latex,573,573,573,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066597138625230905,0.0,0.0066597138625230905
S7_sqrt_exp,strip_string,404,404,262,142,0,0,142,1.0,0.35148514851485146,0.35148514851485146,0.35148514851485146,0.0,0.0,0.306526391666906,0.39924173007447594,0.306526391666906,0.39924173007447594
S2_frac_decimal,strip_string,1725,1725,1287,438,0,0,438,1.0,0.2539130434782609,0.2539130434782609,0.2539130434782609,0.0,0.0,0.23393549233660899,0.274984237498675,0.23393549233660899,0.274984237498675
S6_whitespace,strip_string,15704,15704,15010,694,0,0,694,1.0,0.04419256240448293,0.04419256240448293,0.04419256240448293,0.0,0.0,0.041088017855642256,0.04752005672540012,0.041088017855642256,0.04752005672540012
S5_mathmode,strip_string,4951,4951,4845,106,0,0,106,1.0,0.021409816198747728,0.021409816198747728,0.021409816198747728,0.0,0.0,0.017733433569188876,0.025828322269786888,0.017733433569188876,0.025828322269786888
S1_frac_dialect,strip_string,4146,4146,4146,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009257220805729066,0.0,0.0009257220805729066
S4_delimiters,strip_string,1067,1067,1067,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035874586867002552,0.0,0.0035874586867002552
S9_grouping,strip_string,573,573,573,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066597138625230905,0.0,0.0066597138625230905
S10_sets,sympy_cascade,634,0,0,0,634,0,634,0.0,,0.0,1.0,1.0,0.0,,,0.9939771880667552,1.0
S14_unreduced,sympy_cascade,2062,0,0,0,2062,0,2062,0.0,,0.0,1.0,1.0,0.0,,,0.9981404188975572,0.9999999999999999
S7_sqrt_exp,sympy_cascade,404,262,262,0,142,0,142,0.6485148514851485,0.0,0.0,0.35148514851485146,0.35148514851485146,0.0,0.0,0.014450710498281682,0.306526391666906,0.39924173007447594
S2_frac_decimal,sympy_cascade,1725,1395,1395,0,330,0,330,0.808695652173913,0.0,0.0,0.19130434782608696,0.19130434782608696,0.0,0.0,0.0027462723442025164,0.1734365933502437,0.2105439864784694
S6_whitespace,sympy_cascade,15704,15010,15010,0,694,0,694,0.9558074375955171,0.0,0.0,0.04419256240448293,0.04419256240448293,0.0,0.0,0.00025587055614067485,0.041088017855642256,0.04752005672540012
S5_mathmode,sympy_cascade,4951,4846,4846,0,105,0,105,0.9787921631993537,0.0,0.0,0.021207836800646335,0.021207836800646335,0.0,0.0,0.0007921083443220083,0.017550159895632873,0.025607950345469487
S1_frac_dialect,sympy_cascade,4146,4146,4146,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009257220805729066,0.0,0.0009257220805729066
S4_delimiters,sympy_cascade,1067,1067,1067,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035874586867002552,0.0,0.0035874586867002552
S9_grouping,sympy_cascade,573,573,573,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066597138625230905,0.0,0.0066597138625230905
