verifier,stratum,n_false,n_error,n_timeout,fail_count,error_mass_share,share_from_reject,share_from_error
mathverify_expr,S6_whitespace,7852,0,0,7852,0.7408945083978109,1.0,0.0
mathverify_expr,S5_mathmode,2417,0,0,2417,0.2280618984714097,1.0,0.0
mathverify_expr,S2_frac_decimal,329,0,0,329,0.031043593130779392,1.0,0.0
mathverify_expr,S9_grouping,0,0,0,0,0.0,,
mathverify_latex,S6_whitespace,5846,0,0,5846,0.930151153540175,1.0,0.0
mathverify_latex,S10_sets,238,0,0,238,0.03786793953858393,1.0,0.0
mathverify_latex,S4_delimiters,200,0,0,200,0.031821797931583136,1.0,0.0
mathverify_latex,S7_sqrt_exp,1,0,0,1,0.00015910898965791568,1.0,0.0
mathverify_latex,S14_unreduced,0,0,0,0,0.0,,
mathverify_latex,S1_frac_dialect,0,0,0,0,0.0,,
mathverify_latex,S2_frac_decimal,0,0,0,0,0.0,,
mathverify_latex,S5_mathmode,0,0,0,0,0.0,,
mathverify_latex,S9_grouping,0,0,0,0,0.0,,
strip_string,S6_whitespace,694,0,0,694,0.5028985507246376,1.0,0.0
strip_string,S2_frac_decimal,438,0,0,438,0.3173913043478261,1.0,0.0
strip_string,S7_sqrt_exp,142,0,0,142,0.10289855072463767,1.0,0.0
strip_string,S5_mathmode,106,0,0,106,0.07681159420289856,1.0,0.0
strip_string,S1_frac_dialect,0,0,0,0,0.0,,
strip_string,S4_delimiters,0,0,0,0,0.0,,
strip_string,S9_grouping,0,0,0,0,0.0,,
sympy_cascade,S14_unreduced,0,2062,0,2062,0.5197882530879758,0.0,1.0
sympy_cascade,S6_whitespace,0,694,0,694,0.17494328207713639,0.0,1.0
sympy_cascade,S10_sets,0,634,0,634,0.1598185026468364,0.0,1.0
sympy_cascade,S2_frac_decimal,0,330,0,330,0.08318628686664986,0.0,1.0
sympy_cascade,S7_sqrt_exp,0,142,0,142,0.035795311318376606,0.0,1.0
sympy_cascade,S5_mathmode,0,105,0,105,0.026468364003024956,0.0,1.0
sympy_cascade,S1_frac_dialect,0,0,0,0,0.0,,
sympy_cascade,S4_delimiters,0,0,0,0,0.0,,
sympy_cascade,S9_grouping,0,0,0,0,0.0,,
