stratum,verifier,n,n_eval,coverage,accept_rate,accept_rate_all,err_rate
S11_text,mathverify_expr,9980,9980,1.0,0.281563126252505,0.281563126252505,0.0
S11_text,mathverify_latex,9980,9980,1.0,0.39629258517034066,0.39629258517034066,0.0
S11_text,strip_string,9980,9980,1.0,0.48867735470941887,0.48867735470941887,0.0
S11_text,sympy_cascade,9980,4878,0.4887775551102204,1.0,0.4887775551102204,0.5112224448897795
S12_units,mathverify_expr,2782,2782,1.0,0.5,0.5,0.0
S12_units,mathverify_latex,2782,2782,1.0,1.0,1.0,0.0
S12_units,strip_string,2782,2782,1.0,1.0,1.0,0.0
S12_units,sympy_cascade,2782,2782,1.0,1.0,1.0,0.0
S13_percent,mathverify_expr,20,20,1.0,0.0,0.0,0.0
S13_percent,mathverify_latex,20,20,1.0,1.0,1.0,0.0
S13_percent,strip_string,20,20,1.0,0.0,0.0,0.0
S13_percent,sympy_cascade,20,20,1.0,0.0,0.0,0.0
S3_boxing,mathverify_expr,19952,19952,1.0,0.08039294306335204,0.08039294306335204,0.0
S3_boxing,mathverify_latex,19952,19952,1.0,0.7507016840417001,0.7507016840417001,0.0
S3_boxing,strip_string,19952,19952,1.0,0.0,0.0,0.0
S3_boxing,sympy_cascade,19952,0,0.0,,0.0,1.0
S8_scientific,mathverify_expr,326,326,1.0,0.0,0.0,0.0
S8_scientific,mathverify_latex,326,326,1.0,1.0,1.0,0.0
S8_scientific,strip_string,326,326,1.0,0.0,0.0,0.0
S8_scientific,sympy_cascade,326,0,0.0,,0.0,1.0
