verifier,magnitude,n,n_eval,n_accepted,fp_rate,coverage
mathverify_expr,<10,20,20,0,0.0,1.0
mathverify_expr,10-100,134,134,0,0.0,1.0
mathverify_expr,100-1k,560,560,0,0.0,1.0
mathverify_expr,1k-10k,367,367,0,0.0,1.0
mathverify_expr,10k-100k,131,131,0,0.0,1.0
mathverify_expr,>100k,75,75,0,0.0,1.0
mathverify_latex,<10,20,20,0,0.0,1.0
mathverify_latex,10-100,134,134,0,0.0,1.0
mathverify_latex,100-1k,560,560,0,0.0,1.0
mathverify_latex,1k-10k,367,367,0,0.0,1.0
mathverify_latex,10k-100k,131,131,0,0.0,1.0
mathverify_latex,>100k,75,75,0,0.0,1.0
strip_string,<10,20,20,0,0.0,1.0
strip_string,10-100,134,134,0,0.0,1.0
strip_string,100-1k,560,560,0,0.0,1.0
strip_string,1k-10k,367,367,0,0.0,1.0
strip_string,10k-100k,131,131,0,0.0,1.0
strip_string,>100k,75,75,0,0.0,1.0
sympy_cascade,<10,20,20,0,0.0,1.0
sympy_cascade,10-100,134,134,0,0.0,1.0
sympy_cascade,100-1k,560,560,0,0.0,1.0
sympy_cascade,1k-10k,367,367,0,0.0,1.0
sympy_cascade,10k-100k,131,131,131,1.0,1.0
sympy_cascade,>100k,75,75,75,1.0,1.0
